zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,methanol_240_water_960-hydrophobic,01_methanol,1,-0.433,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,01_methanol,2,-0.582,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,01_methanol,3,-0.349,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,01_methanol,4,-0.516,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,01_methanol,5,-0.604,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,01_methanol,6,-0.411,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,01_methanol,7,-0.575,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,01_methanol,8,-0.711,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,01_methanol,9,-0.443,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,01_methanol,10,-0.472,-0.5096,-0.318509769
FAU,methanol_240_water_960-hydrophobic,02_propanol,1,-0.691,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,02_propanol,2,-0.492,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,02_propanol,3,-0.497,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,02_propanol,4,-0.499,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,02_propanol,5,-0.458,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,02_propanol,6,-0.593,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,02_propanol,7,-0.478,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,02_propanol,8,-0.549,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,02_propanol,9,-0.41,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,02_propanol,10,-0.599,-0.5266,-0.305565074
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,1,-0.372,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,2,-0.447,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,3,-0.595,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,4,-0.407,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,5,-0.312,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,6,-0.226,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,7,-0.361,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,8,-0.404,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,9,-0.245,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,04_3c_aldehyde,10,-0.263,-0.3632,-0.224064751
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,1,-0.526,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,2,-0.765,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,3,-0.592,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,4,-0.803,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,5,-0.553,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,6,-0.864,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,7,-0.71,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,8,-0.781,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,9,-0.491,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,06_02_glycerol,10,-0.704,-0.6789,-0.432720226
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,1,-0.586,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,2,-0.582,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,3,-0.413,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,4,-0.621,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,5,-0.609,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,6,-0.451,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,7,-0.384,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,8,-0.37,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,9,-0.586,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,07_01_ethene_glycol,10,-0.269,-0.4871,-0.496166312
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,1,-0.965,-0.7202,-0.542247152
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,2,-0.616,-0.7202,-0.542247152
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,3,-0.907,-0.7202,-0.542247152
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,4,-0.918,-0.7202,-0.542247152
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,5,-0.605,-0.7202,-0.542247152
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,6,-0.54,-0.7202,-0.542247152
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,7,-0.633,-0.7202,-0.542247152
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,8,-0.796,-0.7202,-0.542247152
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,9,-0.619,-0.7202,-0.542247152
FAU,methanol_240_water_960-hydrophobic,08_05_propylene_glycol,10,-0.603,-0.7202,-0.542247152
