zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,methanol_600_water_600-hydrophilic,01_methanol,1,-0.232,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,01_methanol,2,-0.251,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,01_methanol,3,-0.3,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,01_methanol,4,-0.31,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,01_methanol,5,-0.161,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,01_methanol,6,-0.365,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,01_methanol,7,-0.09,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,01_methanol,8,-0.181,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,01_methanol,9,-0.154,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,01_methanol,10,-0.08,-0.2124,-0.306161491
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,1,-0.43,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,2,-0.338,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,3,-0.301,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,4,-0.297,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,5,-0.576,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,6,-0.408,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,7,-0.184,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,8,-0.357,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,9,-0.487,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,02_01_02_propanol,10,-0.441,-0.3819,-0.503589544
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,1,-0.851,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,2,-0.858,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,3,-0.613,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,4,-0.899,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,5,-0.745,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,6,-0.48,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,7,-0.798,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,8,-0.889,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,9,-0.66,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,04_05_glycerol,10,-0.641,-0.7434,-0.643189232
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,1,-0.38,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,2,-0.276,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,3,-0.294,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,4,-0.398,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,5,-0.274,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,6,-0.289,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,7,-0.484,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,8,-0.238,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,9,-0.246,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,05_3c_aldehyde,10,-0.23,-0.3109,-0.737508072
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,1,-0.572,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,2,-0.752,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,3,-0.412,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,4,-0.667,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,5,-0.76,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,6,-0.62,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,7,-0.695,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,8,-0.365,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,9,-0.615,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,08_01_ethene_glycol,10,-0.679,-0.6137,-0.6832994
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,1,-0.449,-0.2845,-0.226550797
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,2,-0.309,-0.2845,-0.226550797
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,3,-0.186,-0.2845,-0.226550797
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,4,-0.346,-0.2845,-0.226550797
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,5,-0.246,-0.2845,-0.226550797
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,6,-0.106,-0.2845,-0.226550797
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,7,-0.525,-0.2845,-0.226550797
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,8,-0.122,-0.2845,-0.226550797
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,9,-0.242,-0.2845,-0.226550797
FAU,methanol_600_water_600-hydrophilic,11_01_propylene_glycol,10,-0.314,-0.2845,-0.226550797
