zeolite,environment,,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,methanol_600_water_600-hydrophobic,,01_methanol,1,-0.292,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,01_methanol,2,-0.493,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,01_methanol,3,-0.5,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,01_methanol,4,-0.507,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,01_methanol,5,-0.662,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,01_methanol,6,-0.338,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,01_methanol,7,-0.381,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,01_methanol,8,-0.48,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,01_methanol,9,-0.428,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,01_methanol,10,-0.472,-0.4553,-0.347929529
FAU,methanol_600_water_600-hydrophobic,,02_propanol,1,-0.567,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,02_propanol,2,-0.619,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,02_propanol,3,-0.516,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,02_propanol,4,-0.654,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,02_propanol,5,-0.543,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,02_propanol,6,-0.578,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,02_propanol,7,-0.429,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,02_propanol,8,-0.522,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,02_propanol,9,-0.496,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,02_propanol,10,-0.486,-0.541,-0.32188903
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,1,-0.3,-0.3811,-0.232568081
FAU,methanol_600_water_600-hydrophobic,,04_3c_aldehyde,2,-0.405,-0.3811,-0.232568081
