zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD
FAU,water_pure-hydrophilic,01_methanol,1,-0.162,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,01_methanol,2,-0.218,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,01_methanol,3,-0.186,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,01_methanol,4,-0.444,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,01_methanol,5,-0.157,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,01_methanol,6,-0.117,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,01_methanol,7,-0.27,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,01_methanol,8,-0.224,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,01_methanol,9,-0.192,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,01_methanol,10,-0.248,-0.2218,-0.26987015
FAU,water_pure-hydrophilic,02_propanol,1,-0.471,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,02_propanol,2,-0.477,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,02_propanol,3,-0.247,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,02_propanol,4,-0.419,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,02_propanol,5,-0.435,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,02_propanol,6,-0.342,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,02_propanol,7,-0.258,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,02_propanol,8,-0.329,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,02_propanol,9,-0.407,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,02_propanol,10,-0.226,-0.3611,-0.43958685
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,1,-0.817,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,2,-0.616,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,3,-0.867,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,4,-0.831,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,5,-0.656,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,6,-0.612,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,7,-0.692,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,8,-0.691,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,9,-0.283,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_01_1_3_propanediol,10,-0.683,-0.6748,-0.94055405
FAU,water_pure-hydrophilic,03_02_1_3_propanediol,1,-0.767,-0.8595,-0.8742803
FAU,water_pure-hydrophilic,03_02_1_3_propanediol,2,-0.764,-0.8595,-0.8742803
