zeolite,environment,adsorbate,snapshot,intE,intE_avg,intE_MD,,
FAU,water_pure-hydrophobic,01_methanol,1,-0.407,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,01_methanol,2,-0.488,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,01_methanol,3,-0.345,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,01_methanol,4,-0.602,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,01_methanol,5,-0.627,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,01_methanol,6,-0.483,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,01_methanol,7,-0.543,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,01_methanol,8,-0.589,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,01_methanol,9,-0.632,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,01_methanol,10,-0.505,-0.5221,-0.311592982,,
FAU,water_pure-hydrophobic,02_propanol,1,-0.377,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,02_propanol,2,-0.735,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,02_propanol,3,-0.629,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,02_propanol,4,-0.571,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,02_propanol,5,-0.442,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,02_propanol,6,-0.514,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,02_propanol,7,-0.74,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,02_propanol,8,-0.577,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,02_propanol,9,-0.502,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,02_propanol,10,-0.84,-0.5927,-0.318491341,,
FAU,water_pure-hydrophobic,03_ethanol,1,-0.451,-0.5798,-0.295685498,,
FAU,water_pure-hydrophobic,03_ethanol,2,-0.507,-0.5798,-0.295685498,,
